"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a newly registered and logged-in user can successfully place an order via the UI and see it in order history.","16298","Happy Path: registered user can place an order","chromium","Fri Feb 06 11:32:03 UTC 2026","failed","Fri Feb 06 11:32:19 UTC 2026","TC-UI-01: Authorized user can place an order","UI/mytest.spec.js","",""
"Verify registration fails with 409 Conflict when email already exists.","176","TC-API-02: Registration with Existing Email but Different Data","chromium","Fri Feb 06 11:31:22 UTC 2026","passed","Fri Feb 06 11:31:22 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify that a newly registered and logged-in user can successfully place an order via the UI and see it in order history.","1778","Happy Path: registered user can place an order","chromium","Fri Feb 06 11:32:20 UTC 2026","passed","Fri Feb 06 11:32:22 UTC 2026","TC-UI-01: Authorized user can place an order","UI/order.spec.js","",""
"Verify that a new user can be registered and log in successfully via API.","244","TC-API-01: Register and Login User","chromium","Fri Feb 06 11:31:22 UTC 2026","passed","Fri Feb 06 11:31:22 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify registration fails with 409 Conflict when username already exists.","243","TC-API-03: Registration with Existing Username but Different Data","chromium","Fri Feb 06 11:31:24 UTC 2026","failed","Fri Feb 06 11:31:25 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verifies that the ""Admin Panel"" button is visible in the global header for an authorized Admin user.","2735","Smoke: admin sees admin panel after login","chromium","Fri Feb 06 11:31:25 UTC 2026","passed","Fri Feb 06 11:31:28 UTC 2026","TC-UI-SM-04: Admin user sees admin panel on Home page","UI/adminLogin.spec.js","",""
