"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify registration fails with 409 Conflict when username already exists.","224","TC-API-03: Registration with Existing Username but Different Data","chromium","Thu Feb 05 19:49:39 UTC 2026","failed","Thu Feb 05 19:49:39 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify that a new user can be registered and log in successfully via API.","252","TC-API-01: Register and Login User","chromium","Thu Feb 05 19:49:36 UTC 2026","passed","Thu Feb 05 19:49:36 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify that a newly registered and logged-in user can successfully place an order via the UI and see it in order history.","1709","Happy Path: registered user can place an order","chromium","Thu Feb 05 19:49:42 UTC 2026","passed","Thu Feb 05 19:49:44 UTC 2026","TC-UI-01: Authorized user can place an order","UI/order.spec.js","",""
"Verify registration fails with 409 Conflict when email already exists.","175","TC-API-02: Registration with Existing Email but Different Data","chromium","Thu Feb 05 19:49:36 UTC 2026","passed","Thu Feb 05 19:49:36 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verifies that the ""Admin Panel"" button is visible in the global header for an authorized Admin user.","2424","Smoke: admin sees admin panel after login","chromium","Thu Feb 05 19:49:40 UTC 2026","passed","Thu Feb 05 19:49:42 UTC 2026","TC-UI-SM-04: Admin user sees admin panel on Home page","UI/adminLogin.spec.js","",""
