"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a new user can be registered and log in successfully via API.","266","TC-API-01: Register and Login User","chromium","Fri Feb 06 11:06:35 UTC 2026","passed","Fri Feb 06 11:06:36 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify registration fails with 409 Conflict when email already exists.","190","TC-API-02: Registration with Existing Email but Different Data","chromium","Fri Feb 06 11:06:36 UTC 2026","passed","Fri Feb 06 11:06:36 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verifies that the ""Admin Panel"" button is visible in the global header for an authorized Admin user.","2328","Smoke: admin sees admin panel after login","chromium","Fri Feb 06 11:06:39 UTC 2026","passed","Fri Feb 06 11:06:41 UTC 2026","TC-UI-SM-04: Admin user sees admin panel on Home page","UI/adminLogin.spec.js","",""
"Verify registration fails with 409 Conflict when username already exists.","241","TC-API-03: Registration with Existing Username but Different Data","chromium","Fri Feb 06 11:06:38 UTC 2026","failed","Fri Feb 06 11:06:38 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify that a newly registered and logged-in user can successfully place an order via the UI and see it in order history.","1767","Happy Path: registered user can place an order","chromium","Fri Feb 06 11:07:00 UTC 2026","passed","Fri Feb 06 11:07:02 UTC 2026","TC-UI-01: Authorized user can place an order","UI/order.spec.js","",""
"Verify that a newly registered and logged-in user can successfully place an order via the UI and see it in order history.","5334","Happy Path: registered user can place an order","chromium","Fri Feb 06 11:06:54 UTC 2026","failed","Fri Feb 06 11:06:59 UTC 2026","api+UI","UI/mytest.spec.js","",""
