"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a new user can be registered and log in successfully via API.","255","TC-API-01: Register and Login User","chromium","Fri Feb 06 11:44:27 UTC 2026","passed","Fri Feb 06 11:44:27 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verify that a newly registered and logged-in user can successfully place an order via the UI and see it in order history.","1755","Happy Path: registered user can place an order","chromium","Fri Feb 06 11:44:33 UTC 2026","passed","Fri Feb 06 11:44:35 UTC 2026","TC-UI-01: Authorized user can place an order","UI/order.spec.js","",""
"Verify registration fails with 409 Conflict when email already exists.","177","TC-API-02: Registration with Existing Email but Different Data","chromium","Fri Feb 06 11:44:27 UTC 2026","passed","Fri Feb 06 11:44:27 UTC 2026","Register and Login User","API/auth.spec.js","",""
"Verifies that the ""Admin Panel"" button is visible in the global header for an authorized Admin user.","2340","Smoke: admin sees admin panel after login","chromium","Fri Feb 06 11:44:30 UTC 2026","passed","Fri Feb 06 11:44:33 UTC 2026","TC-UI-SM-04: Admin user sees admin panel on Home page","UI/adminLogin.spec.js","",""
"Verify registration fails with 409 Conflict when username already exists.","228","TC-API-03: Registration with Existing Username but Different Data","chromium","Fri Feb 06 11:44:30 UTC 2026","failed","Fri Feb 06 11:44:30 UTC 2026","Register and Login User","API/auth.spec.js","",""
